layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds
2,0.1,0.5523700305810397,0.011936158253819546,0.04906883441618095,0.006797812364933723,0.6844712893168131,0.0004442169238939497,3
2,0.2,0.551987767584098,0.01131395151907394,0.04900231237440663,0.009708586832664439,0.684484581152598,0.00044459264889804803,3
2,0.27,0.5531345565749236,0.011313951519073976,0.048985388050203284,0.009422245667358865,0.6844935814539591,0.0004456048279556679,3
2,0.35,0.5527522935779817,0.011059232524074513,0.050089157958278584,0.009662987011359252,0.68450399239858,0.00044698675347402923,3
2,0.5,0.551987767584098,0.011019522404739742,0.05081664490590401,0.008287659697485582,0.6845237612724304,0.00045003587393631914,3
4,0.1,0.565749235474006,0.020202156363492034,0.11489239353287839,0.02336731092803331,0.6760307749112447,0.0009788816286531478,3
4,0.2,0.5653669724770642,0.019862967976707283,0.11594391507110828,0.02203496215670562,0.676050086816152,0.0009790108761421154,3
4,0.27,0.5653669724770642,0.019862967976707283,0.11548960532434853,0.021483545184374783,0.6760637958844503,0.0009788879183135573,3
4,0.35,0.5653669724770642,0.019862967976707283,0.11508684619030819,0.020863220804762554,0.6760795911153158,0.0009796014471352744,3
4,0.5,0.5653669724770641,0.01894806380947051,0.11463768420234005,0.01812435837539865,0.676109234491984,0.0009832483921438687,3
6,0.1,0.5091743119266054,0.0,0.042398785779235615,0.002022630589451666,0.6907891233762106,0.0003155605748942216,3
6,0.2,0.5091743119266054,0.0,0.042462423671640805,0.002006431187703569,0.6908010840415955,0.0003109029522371726,3
6,0.27,0.5091743119266054,0.0,0.04250396810904925,0.001992197679755352,0.690808912118276,0.0003082290829640103,3
6,0.35,0.5091743119266054,0.0,0.04254833383297707,0.0019735857951229895,0.6908174355824789,0.00030561775405671285,3
6,0.5,0.5091743119266054,0.0,0.04262361449932839,0.0019327906291971672,0.6908319393793741,0.0003019166794726455,3
