layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds,control,probe_type
6,0.1,0.6035,0.0017320508075688791,0.40866703507055835,0.0016341815550123962,1.780687650044759,0.000491598894602112,3,none,linear
6,0.2,0.6036666666666667,0.0016072751268321722,0.40883551125228407,0.001496095218536827,1.7806888421376545,0.0004922748634398164,3,none,linear
6,0.27,0.6035,0.001802775637732027,0.40866992587844525,0.001681703965176496,1.7806881268819172,0.000492007172424768,3,none,linear
6,0.35,0.6035,0.001802775637732027,0.4086718510637681,0.0016812345094326382,1.7806914647420247,0.0004947873339655627,3,none,linear
6,0.5,0.6031666666666667,0.002254624876411478,0.40834245940794545,0.0021226789282498184,1.780696709950765,0.0004955029923100879,3,none,linear
7,0.1,0.653,0.0020000000000000018,0.4505726631383102,0.0018247513144719247,1.7278760274251301,0.0005462773378636986,3,none,linear
7,0.2,0.6528333333333333,0.0017559422921420984,0.4504088495547573,0.0015679193127045982,1.7278785308202107,0.0005467631802648218,3,none,linear
7,0.27,0.653,0.0020000000000000018,0.45057705797751746,0.0018233166763828702,1.7278800408045452,0.0005470517068384095,3,none,linear
7,0.35,0.653,0.0020000000000000018,0.4505788995251059,0.0018225714028874884,1.7278836170832317,0.0005466153631600798,3,none,linear
7,0.5,0.6529999999999999,0.001802775637732027,0.4505835273737709,0.0016682807143162638,1.727892319361369,0.000551140494586864,3,none,linear
8,0.1,0.6835,0.003968626966596847,0.4842694760759671,0.004201282041815241,1.7248698075612385,0.0010279142432202146,3,none,linear
8,0.2,0.6831666666666667,0.003883726732576987,0.4839386678983768,0.0041087813614016306,1.7248761256535847,0.0010254860379772081,3,none,linear
8,0.27,0.6831666666666667,0.003883726732576987,0.4839404139791926,0.004107910668613469,1.7248806556065877,0.0010232318402701094,3,none,linear
8,0.35,0.6831666666666667,0.003883726732576987,0.4839424137522777,0.004107821367267491,1.7248853047688801,0.0010232464922226726,3,none,linear
8,0.5,0.6828333333333334,0.004310839052125827,0.48361203459650276,0.00452242946091767,1.7248927752176921,0.0010244586486456322,3,none,linear
9,0.1,0.7223333333333334,0.004252450274057723,0.5189855351671578,0.004436073736879521,1.6861627499262493,0.0011360933327534339,3,none,linear
9,0.2,0.7225,0.004500000000000004,0.519154885319372,0.004689130333004579,1.686171332995097,0.0011356567450350773,3,none,linear
9,0.27,0.7225,0.004272001872658796,0.519156322983404,0.00443926224801717,1.686177174250285,0.0011359449781850417,3,none,linear
9,0.35,0.7223333333333333,0.004041451884327384,0.5189915479371945,0.004198937314805819,1.6861824591954548,0.0011346854198891257,3,none,linear
9,0.5,0.7225,0.004272001872658796,0.5191617093582948,0.004436412109965966,1.6861933867136638,0.0011339432024380528,3,none,linear
